,uuid,x,y,content,size,color
83,7fd5546c-5908-4782-7e8b-6337b1b836e6,1282.9007856941223,-322.28514280319223,L,14,#000000
84,974caab9-cd27-0cb2-9041-2cd5b83632ff,109.05845619201682,-479.2851428031918,D,14,#000000
85,531411ba-dc69-643a-494f-e172d2e04d93,331.0584561920168,-478.2851428031918,D,14,#000000
86,efc23ba2-6599-6eda-2470-e246ebb42802,109.05845619201682,-498.2851428031918,C,14,#000000
87,83b18a83-ddad-dc6e-cb2d-922b73676181,331.0584561920168,-498.2851428031918,C,14,#000000
88,d222fa7c-4fed-9324-073a-47aa634f7be3,108.67493368148826,-518.2851428031918,B,14,#000000
89,f7b79459-6e0c-31d4-f98c-19e599271b20,330.67493368148826,-518.2851428031918,B,14,#000000
90,f267e8c8-2039-ef2b-12bf-4e5477d7ae79,109.16493368148804,-459.13514280319214,E,14,#000000
91,737182e9-ccfd-e1f0-2249-ffe312843790,330.67493368148826,-458.2851428031918,E,14,#000000
92,7811d506-c0ed-cd43-df74-ff6f9e2056f2,108.67493368148826,-538.2851428031918,A,14,#000000
93,d20cc14f-446f-1b6a-b8a8-da1ac64d5a52,330.67493368148826,-538.2851428031918,A,14,#000000
94,fed6a75c-abb1-2f83-ce93-9384e78d4b09,669.274308681488,-438.2851428031918,F,14,#000000
95,4f562fa4-a7af-3927-dbd1-e9bc21337b72,668.6749336814883,-538.2851428031918,A,14,#000000
96,fba80b6a-68d1-1442-b3ce-afa89df7b398,668.6749336814883,-458.2851428031918,E,14,#000000
97,0df2b8ae-dc18-6a95-f4d0-88acb5666de6,669.0584561920168,-478.2851428031918,D,14,#000000
98,70392764-58fa-7ded-b9af-bdde84e24511,669.0584561920168,-498.2851428031918,C,14,#000000
99,057b809b-009a-c236-97da-2018cfa3ba27,668.6749336814883,-518.2851428031918,B,14,#000000
100,4f290056-15ce-3fd3-0900-d75078aee2e6,1011.2843086814884,-435.2851428031918,F,14,#000000
101,e0813162-9098-5eb0-aae2-8142ac3f382c,1010.6749336814884,-535.2851428031918,A,14,#000000
102,2504bb72-36cb-7fd3-ebc6-6ecb6fe04550,1010.6749336814884,-455.2851428031918,E,14,#000000
103,aa231374-7d3d-0940-e2dc-a36ecef7ce1f,1011.068456192017,-475.2851428031918,D,14,#000000
104,1d3a1b8d-6ab2-1820-2ea4-8064d5ca033b,1011.068456192017,-495.2851428031918,C,14,#000000
105,149f94e5-bb2e-f3e0-e6e0-d84b1c10c218,1010.6749336814884,-515.2851428031918,B,14,#000000
106,a993fa86-ac0e-a1a0-6ec5-60f9d18ef141,1234.068456192017,-475.2851428031918,D,14,#000000
107,e5efb94d-c95f-d8f5-8bd2-d92367b782be,1234.068456192017,-495.2851428031918,C,14,#000000
108,cc96d60d-eccf-590d-c50c-5538d7ccb935,1233.6749336814885,-515.2851428031918,B,14,#000000
109,ed958eed-911d-d00b-bf81-a1a111ab990b,1233.6749336814885,-535.2851428031918,A,14,#000000
110,16108d88-e6d9-2514-3a3a-e4a1088ca55c,1234.164933681488,-456.13514280319214,E,14,#000000
111,463d7483-6be7-15cc-7d6e-f0b3c7b50d99,71.54987621307373,-693.2851428031918,ZF,14,#000000
112,8ebeceae-fe3a-6d11-8774-95a87cd24393,70.67493368148826,-833.2851428031918,Y,14,#000000
113,45ae87e5-5235-2ebd-4375-efedbd36b52d,70.95050121307395,-713.2851428031918,ZE,14,#000000
114,de5f596b-2cd2-3af1-2c61-68b64420b8d1,71.33402420043967,-733.2851428031918,ZD,14,#000000
115,fd272a7d-687f-d773-3dc9-5e063b6d08b1,71.33402420043967,-753.2851428031918,ZC,14,#000000
116,ce2966a8-c7ab-2917-564d-4a40e0856238,71.06845619201658,-895.2851428031918,U,14,#000000
117,c0e56724-b46c-71b7-2db5-7bcbf8254fea,70.95050121307395,-773.2851428031918,ZB,14,#000000
118,5e4ae574-97cf-0b76-3666-096ed019e9e2,70.95050121307395,-793.2851428031918,ZA,14,#000000
119,0af7c1e3-3a12-8b19-f183-a684e4ee6663,70.28430868148826,-813.2851428031918,Z,14,#000000
120,7c673e3e-07dd-53b7-aeac-5bf56648f72d,70.67493368148826,-935.2851428031918,S,14,#000000
121,932f5655-a8bf-caf1-f93a-8e5d65ab0ab2,70.67493368148826,-853.2851428031918,X,14,#000000
122,cc9be767-4c63-c6f7-f931-fceea42b07a1,70.61385370254538,-873.2851428031918,W,14,#000000
123,8f2302ad-3e57-188a-eb3a-8466db91cb73,71.28430868148826,-915.2851428031918,T,14,#000000
124,19b2275a-1aad-78d5-0b50-e009b284eb21,71.06845619201658,-955.2851428031918,R,14,#000000
125,a4658372-4583-c4af-dd70-213200ed6377,71.44908119201682,-975.2851428031918,Q,14,#000000
126,5173a045-973a-24a1-7b72-909009835ccc,319.54987621307373,-692.2851428031918,ZF,14,#000000
127,8b860b85-7e14-2387-3147-b877d7a99a63,673.5498762130737,-694.2851428031918,ZF,14,#000000
128,77353e4d-b9ae-d816-8bbb-309856cac0a8,318.95050121307395,-712.2851428031918,ZE,14,#000000
129,f32685b0-53f8-1dd7-5f5e-519b4bd7b3e7,672.950501213074,-714.2851428031918,ZE,14,#000000
130,106c8ed4-e12c-6131-68e5-299d35c5143c,319.33402420043967,-732.2851428031918,ZD,14,#000000
131,459b0338-de07-c5f6-ba6b-9ab123873968,673.3340242004397,-734.2851428031918,ZD,14,#000000
132,a08cda6c-f8fc-ceaf-e7aa-0bef3dd882e8,319.33402420043967,-752.2851428031918,ZC,14,#000000
133,04b38e75-79a4-b71a-3336-173d8600205b,673.3340242004397,-754.2851428031918,ZC,14,#000000
134,09e43161-e96d-9e7d-55cf-d44eee39eb48,318.67493368148826,-934.2851428031918,S,14,#000000
135,6c8d1156-c030-d77f-cd6c-d570bf3156f3,672.6749336814883,-936.2851428031918,S,14,#000000
136,8ec38681-9644-d3bd-c842-92b76e6963ee,319.0584561920168,-954.2851428031918,R,14,#000000
137,ddedf97f-686d-0dcd-d706-ca11023868d2,673.0584561920168,-956.2851428031918,R,14,#000000
138,2d1fa5cb-b5f5-d536-8872-d39a11553ce5,318.95050121307395,-772.2851428031918,ZB,14,#000000
139,e1ac920d-1c28-61eb-609b-63701faf7dca,672.950501213074,-774.2851428031918,ZB,14,#000000
140,7514e54c-7a05-374a-f058-4702da699335,318.95050121307395,-792.2851428031918,ZA,14,#000000
