,,x,y,uuid,Seat_ID
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U9,319.9916381835937,-125.23940429687492,c8bdcc90-0321-dac8-1104-4372899632d3,U9
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U10,339.9916381835937,-125.23940429687492,edfcdbd1-1807-fee2-3f2a-855fdd5de865,U10
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U11,359.9916381835937,-125.23940429687492,4b40b125-939c-8484-4af9-d93cf25f7ed9,U11
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U12,379.8916381835934,-125.23940429687492,940955c7-2985-e047-1fb7-ebb3b9a352fa,U12
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U13,399.8916381835934,-125.23940429687492,bc95e6ce-8cd3-504b-1fa5-2b5e8f0fb585,U13
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U14,419.8916381835934,-125.23940429687492,07cee73a-97a2-6744-c106-2f3ba26f4d4b,U14
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U15,439.8916381835934,-125.23940429687492,d2dfae39-36e8-263b-05e7-4acba517d2cd,U15
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U16,459.8916381835934,-125.23940429687492,b216dbbe-1322-1bb9-fd62-de8706a96f47,U16
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U17,479.8916381835934,-125.23940429687492,2eb400fd-9007-0429-85a6-aa6dcc9d746b,U17
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U18,499.8916381835934,-125.23940429687492,e81e9444-eb21-e487-c0b1-75a0fbd726bb,U18
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U19,519.7916381835939,-125.23940429687492,e8088950-f295-1ce8-f826-0466d5606956,U19
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-U20,539.7916381835939,-125.23940429687492,2f14d19f-9870-4e0a-9cb8-43ea61a1c88d,U20
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T8,299.9916381835937,-145.2394042968749,162d244d-556f-086c-2f41-e9b3377c2794,T8
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T9,319.9916381835937,-145.2394042968749,e7c59d20-cacb-90b3-be14-77ba2dd9b2e3,T9
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T10,339.9916381835937,-145.2394042968749,8bd13116-3f6f-65a0-d069-21ff9615501a,T10
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T11,359.9916381835937,-145.2394042968749,74e5213f-0dfc-7fb9-1c1a-27389c035736,T11
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T12,379.8916381835934,-145.2394042968749,8d7762b3-3444-7b5b-93ad-8be697fe2f8a,T12
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T13,399.8916381835934,-145.2394042968749,dca55aeb-ba4a-50ab-48b7-6b2c392a4158,T13
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T14,419.8916381835934,-145.2394042968749,d5e33c17-4ea4-9e94-fa35-ab7256fff88a,T14
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T15,439.8916381835934,-145.2394042968749,5cfa6bf8-f9eb-cc64-1196-aa8482e659da,T15
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T16,459.8916381835934,-145.2394042968749,a9cc37a7-72e5-0fa5-b380-1054e77f7fbe,T16
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T17,479.8916381835934,-145.2394042968749,7bf50cea-4e3d-c114-2602-9403f34ba1b6,T17
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T18,499.8916381835934,-145.2394042968749,65801ad8-fdc4-9ae5-1287-d05cebaecbd3,T18
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T19,519.7916381835939,-145.2394042968749,f28a97de-640c-6c42-1e21-cbf4600170b5,T19
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-T20,539.7916381835939,-145.2394042968749,51aa7fe0-c5f3-af25-9fde-9fb9fcd7575a,T20
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-S8,299.9916381835937,-165.2394042968749,d76b34e5-063b-6714-2f98-3bc863371980,S8
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-S9,319.9916381835937,-165.2394042968749,10d9c2e1-7067-beb5-d650-01e17e8c1ff7,S9
seats,C2A9C619-5790-4F78-936D-C78FDF9040E3-S10,339.9916381835937,-165.2394042968749,1ec359da-a5ff-9a07-b512-ca4ccf8a1b29,S10
